bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
79.25,106,79.25150837977893,0.35,0.35,-0.822,Null
79.26,105,79.25595636467953,0.35,0.25,-0.785,Null
79.26,105,79.25752902117432,0.25,0.25,-0.798,Null
79.26,106,79.25680159205481,0.25,0.35,-0.811,Null
79.25,106,79.25355360113036,0.35,0.35,-0.824,Null
79.25,105,79.2487684255689,0.35,0.25,-0.787,Null
79.24,105,79.24381248349512,0.25,0.25,-0.8,Null
79.24,106,79.2385789876054,0.25,0.35,-0.813,Null
79.23,106,79.23238935419079,0.35,0.35,-0.826,Null
79.23,105,79.22589720621355,0.35,0.25,-0.789,Null
79.22,105,79.22021780314397,0.25,0.25,-0.802,Null
79.22,106,79.21504562362713,0.25,0.35,-0.815,Null
79.21,106,79.20954053899642,0.35,0.35,-0.828,Null
79.2,105,79.20422220899482,0.35,0.25,-0.791,Null
79.2,105,79.200094009886,0.25,0.25,-0.804,Null
79.2,106,79.196757166563,0.25,0.35,-0.817,Null
79.19,107,79.19329362836653,0.35,0.45,-0.83,Null
79.19,107,79.19015765802922,0.45,0.45,-0.843,Null
79.19,105,79.18829817108958,0.45,0.25,-0.805,Null
79.19,106,79.1872716318442,0.25,0.35,-0.818,Null
79.18,107,79.18464576826898,0.35,0.45,-0.831,Null
79.18,107,79.1774730762508,0.45,0.45,-0.843,Null
79.17,105,79.16590931131032,0.45,0.25,-0.806,Null
79.15,106,79.1498826136096,0.25,0.35,-0.819,Null
79.13,107,79.12779490470496,0.35,0.45,-0.831,Null
79.1,107,79.0976617585912,0.45,0.45,-0.844,Null
79.06,105,79.0605756791964,0.45,0.25,-0.806,Null
79.02,106,79.01731096139928,0.25,0.35,-0.818,Null
78.97,106,78.9670060592166,0.35,0.35,-0.831,Null
78.91,105,78.90830268990088,0.35,0.25,-0.793,Null
78.84,105,78.8428092593734,0.25,0.25,-0.806,Null
78.77,106,78.77172009568622,0.25,0.35,-0.818,Null
78.7,106,78.69598387535068,0.35,0.35,-0.831,Null
78.62,104,78.6178597678048,0.35,0.15,-0.794,Null
78.54,105,78.53990375624448,0.15,0.25,-0.806,Null
78.46,105,78.46305029970384,0.25,0.25,-0.819,Null
78.39,105,78.38749157338623,0.25,0.25,-0.832,Null
78.32,104,78.31603148867754,0.25,0.15,-0.794,Null
78.25,105,78.25071701143862,0.15,0.25,-0.807,Null
78.19,105,78.19303507648696,0.25,0.25,-0.82,Null
78.14,106,78.14404161673062,0.25,0.35,-0.833,Null
78.11,106,78.10591030949917,0.35,0.35,-0.845,Null
78.08,104,78.07949264350732,0.35,0.15,-0.808,Null
78.06,105,78.06494689923225,0.15,0.25,-0.82,Null
78.06,106,78.06060473811162,0.25,0.35,-0.833,Null
78.06,106,78.06418655500642,0.35,0.35,-0.845,Null
78.08,104,78.07627729639823,0.35,0.15,-0.808,Null
78.1,105,78.09702230515428,0.15,0.25,-0.82,Null
78.12,106,78.12485918225065,0.25,0.35,-0.832,Null
78.16,106,78.15766430792789,0.35,0.35,-0.845,Null
78.2,105,78.19619941053843,0.35,0.25,-0.807,Null
78.24,105,78.24079179160776,0.25,0.25,-0.819,Null
78.29,106,78.29005507902242,0.25,0.35,-0.832,Null
78.34,106,78.34203194729855,0.35,0.35,-0.844,Null
78.4,105,78.39618509407312,0.35,0.25,-0.806,Null
78.45,105,78.4525802862222,0.25,0.25,-0.819,Null
78.51,106,78.51003116756421,0.25,0.35,-0.831,Null
78.57,107,78.56696482666356,0.35,0.45,-0.843,Null
78.62,107,78.62328511113138,0.45,0.45,-0.855,Null
78.68,105,78.6794925548503,0.45,0.25,-0.817,Null
78.73,106,78.73479760791254,0.25,0.35,-0.829,Null
78.79,107,78.78651040407357,0.35,0.45,-0.841,Null
78.83,105,78.83148908750528,0.45,0.25,-0.803,Null
78.87,106,78.86973125012398,0.25,0.35,-0.815,Null
78.9,106,78.90105663638748,0.35,0.35,-0.828,Null
78.92,104,78.92380434089124,0.35,0.15,-0.79,Null
78.94,105,78.93890417835676,0.15,0.25,-0.802,Null
78.95,106,78.9467953642409,0.25,0.35,-0.815,Null
78.95,106,78.9477226629648,0.35,0.35,-0.827,Null
78.94,104,78.94482102186913,0.35,0.15,-0.79,Null
78.94,105,78.94058764716416,0.15,0.25,-0.803,Null
78.94,106,78.93553046277101,0.25,0.35,-0.815,Null
78.93,106,78.92931705692601,0.35,0.35,-0.828,Null
78.92,105,78.92427120022728,0.35,0.25,-0.791,Null
78.92,105,78.92203986136884,0.25,0.25,-0.803,Null
